gene,LUSC_vs_LUAD
SPRR2F,0.216727808644942
RPS28,0.06995788676756654
SERPIND1,0.1639624874634279
LTF,0.03971707716446693
ROS1,0.178591156080389
SPRR2C,0.18127816886475467
WFDC5,0.270041234006614
SPDEF,0.3067147352520982
DLX5,0.2741521582863113
PLA2G1B,0.22126431836576332
TMEM40,0.3406232904400932
HHIPL2,0.20118180291599713
LRRN4,0.28765333027680917
ANXA10,0.011134861345973468
GLYATL2,0.1477637900414135
VSIG2,0.19566895754964808
ABCA4,0.06012332079906263
ANKRD1,0.05069446922934928
CTNND2,0.09755241270061524
C10orf81,0.13515453874599198
CSAG2,0.001293871117846901
FAM83F,0.2516961803081855
PGLYRP3,0.3238351913746281
LRP2,0.15108594659390406
CRTAC1,0.06783804900788587
SFTA1P,0.24129637075637916
FAM133A,0.05413831725547033
DSG1,0.2562595501921299
FOXJ1,0.21829975372801486
GRHL3,0.2615411735100017
TFF3,0.11720184423826768
B4GALNT4,0.15276458251115854
LRRC31,0.28808372519564196
TDRD5,0.11535695810514879
DUSP9,0.3134988982975777
TNNT1,0.08676315765617465
CACNA2D2,0.15203222246022685
LOC440173,0.3160890553017558
HAP1,0.27694961302581034
CLDN8,0.0041664825802224525
CRLF1,0.14679689560590203
LOC440905,0.15802094585996973
KCNG1,0.3593631249718531
MYEOV,0.028064185871910563
VTCN1,0.11804139149279935
NXPH4,0.23252804261031218
OLFM4,0.09686198887685199
TBX18,0.1929013479130235
TESC,0.29440699905509204
PTPRT,0.03333155112095382
PENK,0.07552502947058101
FGFBP2,0.11338158343016533
TGM3,0.2339512767858591
ZIC1,0.12514447659956357
GJB3,0.2886048622067252
CDKN2A,0.03651268122014473
GSTA2,0.06534727921211941
ABCA13,0.1992214840827471
MUC6,0.11136525701377492
PPP1R1B,0.1615550594251835
UPK3B,0.023466801329750875
INA,0.13814955788757025
CEL,0.20575134374109533
PCDP1,0.3175329443824623
ABP1,0.20645231309182
EN1,0.30229593742479394
HOXA10,0.2622773085987026
DLK1,0.03229070112034124
CRABP1,0.07100350154607363
C6orf15,0.18587469587324146
PART1,0.15423350868469465
ORM2,0.2454148708808568
LY6K,0.10010210887712595
PPAN-P2RY11,0.035516178997769626
ORM1,0.19291117713743094
S100A8,0.224796618293372
MMP12,0.1093331726874992
