gene,LUSC_vs_LUAD
GLYATL2,0.20942772790993142
VSIG2,0.14499904261714708
ABCA4,0.061008379214891995
ANKRD1,0.04950261482008961
CTNND2,0.11158557700837893
C10orf81,0.15439458418003638
CSAG2,0.09611271647174274
FAM83F,0.268003240014216
PGLYRP3,0.2893931013641199
LRP2,0.12325009411391585
CRTAC1,0.07550745799490982
SFTA1P,0.19829714608994747
FAM133A,0.0133920303264643
DSG1,0.2724122835608518
FOXJ1,0.20432988845393196
GRHL3,0.2505926861089712
TFF3,0.10920508298197945
B4GALNT4,0.15382583366475955
LRRC31,0.31972318221408524
TDRD5,0.07830310169988897
DUSP9,0.2485336957190712
TNNT1,0.07326759696761842
CACNA2D2,0.15525810634716625
LOC440173,0.2914945493301222
HAP1,0.2909100190536116
CLDN8,0.0786824715785912
CRLF1,0.12265206596105582
LOC440905,0.13379885928734625
KCNG1,0.29554877932337864
MYEOV,0.03466462394293057
VTCN1,0.10408991876937601
NXPH4,0.2511218524114437
OLFM4,0.10174599164590889
TBX18,0.16634810678193168
TESC,0.25288896479580164
PTPRT,0.0635618423796313
PENK,0.041987079313753284
FGFBP2,0.11935801966545737
TGM3,0.20486220415311934
ZIC1,0.1096689086665142
GJB3,0.23705309918342837
CDKN2A,0.06300916516042276
GSTA2,0.03852735936434071
ABCA13,0.19798172350517268
MUC6,0.09351013824003959
PPP1R1B,0.14720759940896538
UPK3B,0.038488667595825254
INA,0.07102013915441735
CEL,0.1954120484955763
PCDP1,0.24774395286058537
ABP1,0.18484842484034608
EN1,0.3134220133821544
HOXA10,0.21891757367105846
DLK1,0.01865105985229197
CRABP1,0.019385153195032145
C6orf15,0.15960383847387816
PART1,0.22096684008994233
ORM2,0.17737619391981058
LY6K,0.11496250522582341
PPAN-P2RY11,0.048530092123658775
ORM1,0.1332002570150413
S100A8,0.18755328734137078
MMP12,0.10548759841738131
SLC1A7,0.21856124244842381
CXCL6,0.15582151006690942
SPRR2G,0.2518564558722263
PCDH19,0.22813400302100717
DBC1,0.10032247667164398
IL1F7,0.21148054053358062
ITLN2,0.01082034822916772
SLC1A6,0.17844967201988338
MKRN3,0.22065921522980117
EPHA7,0.1808987865739123
HMGCS2,0.10358039499788693
CNTN1,0.17843250515801695
C3orf57,0.12951601722782463
NR0B2,0.1923969803093458
KRT1,0.18401381867635358
HEPHL1,0.21946320890084814
GAL,0.10114801055724051
GPM6A,0.08003178309527664
SLC26A9,0.18846005720192
ZNHIT2,0.07374604995340917
CSF3,0.04746066153491757
RNASE7,0.26847715365148594
KLK13,0.10845054377132352
SMOC1,0.07242409131237931
CES1,0.05512844115733928
C6orf176,0.1307033734555356
SLC5A8,0.08341221291796608
GJB2,0.17458903504927187
TNNC1,0.1667736994719708
CXCL14,0.07908775111103061
CCNA1,0.219247569019194
C4BPB,0.2618670528439123
DDC,0.08493328189114824
C1orf173,0.0027702780923877235
IYD,0.2577410938166117
RIMS2,0.2318501466220897
FGF19,0.05947935478091762
MRAP2,0.27966134558809674
GAGE4,0.07398848303805294
DACT2,0.03362229806893979
FEZF1,0.04818235758563455
DEFB1,0.11022371551831028
C8B,0.12194417072530528
COL2A1,0.07492514887500742
TPRXL,0.4192292157082068
HTR3A,0.16928461844834042
GPR110,0.12291255508132082
AMBP,0.15321984635713168
DQX1,0.34615299758317186
SHISA3,0.153647353591709
C12orf36,0.1108591475399929
FOXL2,0.24955203417173405
SLC6A3,0.14995984403569695
GAGE2D,0.07920527096969354
DNAH9,0.01212370864450657
HPN,0.22232000753001346
ADCY8,0.11427016507371629
HR,0.2920508710009692
H19,0.03222614405021368
SLC5A1,0.016403202675771278
LYPD3,0.24001097153533313
SNTN,0.09431388169381494
C7,0.07398389297194086
CLEC2L,0.26124729488059906
NCCRP1,0.12440895298303345
CDHR1,0.31553593192396456
HOXD10,0.24961499074747243
CPA4,0.256128738612996
NKX2-5,0.25365866701033485
RORC,0.2906307577487068
HTR2C,0.2177559938261555
GTSF1,0.042036479085416356
IL20RB,0.2171976247163241
MAGEC1,0.019858615045297873
ARSE,0.2245356095782739
SNX31,0.2721454270622572
CAPN9,0.1729993741949279
