gene,LUSC_vs_LUAD
CLDN2,0.14912731548241298
GJB4,0.31142565442939635
CA4,0.09061530583586214
FABP4,0.015771449489677902
C12orf56,0.3200259309144864
DMRT2,0.2895355257618031
SPRR2F,0.2035030760085894
RPS28,0.039670372426578004
SERPIND1,0.11802549594996325
LTF,0.015147842525733313
ROS1,0.15998496283357755
SPRR2C,0.17661266866121567
WFDC5,0.2634819360642717
SPDEF,0.2753702065066024
DLX5,0.27332776639746403
PLA2G1B,0.1861389616361101
TMEM40,0.3191434440223968
HHIPL2,0.14831653495384228
LRRN4,0.23283677916368783
ANXA10,0.03781962168052802
GLYATL2,0.20314926517317905
VSIG2,0.1561990783211083
ABCA4,0.05805287317639746
ANKRD1,0.05502699173230019
CTNND2,0.10776399801637948
C10orf81,0.1374154594885882
CSAG2,0.15200242657439433
FAM83F,0.2507068194536072
PGLYRP3,0.2840330882906475
LRP2,0.136330289070891
CRTAC1,0.07318840787277814
SFTA1P,0.2061950887948017
FAM133A,0.015305124554695737
DSG1,0.26771969412357743
FOXJ1,0.2109615442458525
GRHL3,0.24646270652112212
TFF3,0.1231903342228663
B4GALNT4,0.17852306401741003
LRRC31,0.33943759051136996
TDRD5,0.13311636755083234
DUSP9,0.2589601445118343
TNNT1,0.06966412777790021
CACNA2D2,0.150877219210045
LOC440173,0.3096122745889748
HAP1,0.3006579023986877
CLDN8,0.06861478968215856
CRLF1,0.1262905825746124
LOC440905,0.16762463061566318
KCNG1,0.3229980422980987
MYEOV,0.03797098722383119
VTCN1,0.12483893948366998
NXPH4,0.2573053279091015
OLFM4,0.08624395706586452
TBX18,0.21129146843856522
TESC,0.24970036803495343
PTPRT,0.061959284616452115
PENK,0.04689455193996339
FGFBP2,0.12685551265396053
TGM3,0.17599752414256997
ZIC1,0.13990666057631795
GJB3,0.22927761053039047
CDKN2A,0.04926563245844551
GSTA2,0.06079593711731063
ABCA13,0.19891267593958617
MUC6,0.08887485037820839
PPP1R1B,0.1530640555176116
UPK3B,0.04347133018278826
INA,0.11636776879106986
CEL,0.1865343285483821
PCDP1,0.25072259076452497
ABP1,0.17977616847424105
EN1,0.33126845200233357
HOXA10,0.23753007431416723
DLK1,0.0022306313826372243
CRABP1,0.05064262735578576
C6orf15,0.1645145949687311
PART1,0.21481764531189687
ORM2,0.18032473067735771
LY6K,0.12309242736129056
PPAN-P2RY11,0.0396702161696757
ORM1,0.14223105288577265
S100A8,0.1906775419231489
MMP12,0.1364608292587589
SLC1A7,0.2055326336132378
CXCL6,0.1414903695479625
SPRR2G,0.24004663148858382
PCDH19,0.24712714748603026
DBC1,0.09715391756663622
IL1F7,0.21718502272631246
ITLN2,0.021481946636503657
SLC1A6,0.2160076472873324
MKRN3,0.23856152608232434
EPHA7,0.15197823902808594
HMGCS2,0.09312227618300217
CNTN1,0.1725635314184112
C3orf57,0.12421543260830098
NR0B2,0.22941040453328726
KRT1,0.18050972605293192
HEPHL1,0.22493625646468954
GAL,0.1330153708862286
GPM6A,0.0973632446222289
SLC26A9,0.18902810026473665
ZNHIT2,0.0979795921378217
CSF3,0.044669422898480915
RNASE7,0.2615439122515339
KLK13,0.07968947425123896
SMOC1,0.06002460805150267
CES1,0.052306520091757736
C6orf176,0.13041645093114246
SLC5A8,0.0787842706620061
GJB2,0.17897539627464942
TNNC1,0.1772149470841088
CXCL14,0.06539660784616608
CCNA1,0.19445643439805865
C4BPB,0.2589838789052791
DDC,0.10747297696939317
C1orf173,0.03979535473187373
IYD,0.2528675615913009
RIMS2,0.2511903708744404
FGF19,0.0500224505887176
MRAP2,0.2644585561542362
GAGE4,0.083151216495462
DACT2,0.04774719643526171
FEZF1,0.049711533449774636
DEFB1,0.08432564761266803
C8B,0.14268593667069468
COL2A1,0.10097716795303366
TPRXL,0.4082246385985453
HTR3A,0.147737665972908
GPR110,0.11252594221200052
AMBP,0.1768835074247438
DQX1,0.3570766120411808
SHISA3,0.15966545270125043
